req_id,qwen_20251111T025525_10_argmax,deepseek_20251112T144147_10_argmax,match
226,2,4,0
657,4,3,0
824,0,0,1
988,1,1,1
1005,3,4,0
1011,0,0,1
1140,4,2,0
1326,2,2,1
1555,1,0,0
1575,1,2,0
1723,2,1,0
1963,0,1,0
2288,2,0,0
2550,2,3,0
2555,2,0,0
2631,3,2,0
2795,1,2,0
2962,2,4,0
3120,1,0,0
3365,1,3,0
3401,0,0,1
3411,0,3,0
3573,4,3,0
3745,4,2,0
4087,0,1,0
4229,1,0,0
4280,2,3,0
4321,2,0,0
4653,2,2,1
4737,2,2,1
4917,2,3,0
4922,3,2,0
5373,3,3,1
5403,1,1,1
5407,0,0,1
5413,0,3,0
5725,2,2,1
5918,2,0,0
6125,0,0,1
6345,2,0,0
6411,1,2,0
6447,4,4,1
6498,0,0,1
6531,2,3,0
6778,0,4,0
6836,3,4,0
7022,3,4,0
7143,1,1,1
7331,3,3,1
7947,0,2,0
7965,2,2,1
8779,0,4,0
9226,0,4,0
9310,1,1,1
9437,3,4,0
9471,3,4,0
9675,4,0,0
9696,1,2,0
10905,2,3,0
11028,1,2,0
11061,0,0,1
11211,3,3,1
11217,2,1,0
11616,0,1,0
11704,3,1,0
11765,0,1,0
12085,4,0,0
12093,0,2,0
12618,0,0,1
12743,3,4,0
13333,3,3,1
13713,1,1,1
13823,2,0,0
13886,3,3,1
13989,1,1,1
14390,3,3,1
15272,1,1,1
15363,0,0,1
15379,2,2,1
15382,0,1,0
15638,0,3,0
15645,4,4,1
15780,0,2,0
15903,4,0,0
16153,3,0,0
16251,1,4,0
16704,0,3,0
16909,4,0,0
17033,3,3,1
17114,2,1,0
17579,0,0,1
17832,3,3,1
18102,3,4,0
18110,0,0,1
18383,0,1,0
18442,2,2,1
18533,3,1,0
18665,0,1,0
19298,1,3,0
19448,2,4,0
19482,2,2,1
19554,1,2,0
19610,2,4,0
19672,3,4,0
20094,2,3,0
20218,2,3,0
20220,0,0,1
20241,3,4,0
20483,3,2,0
20657,2,1,0
20768,3,3,1
21286,0,4,0
21379,2,2,1
21638,2,1,0
22500,4,0,0
22558,2,3,0
22597,1,3,0
22798,3,4,0
24471,1,4,0
24657,2,4,0
24740,3,0,0
25109,4,2,0
25247,2,1,0
25454,4,0,0
25898,1,0,0
25997,0,0,1
26517,4,4,1
26788,0,1,0
26898,3,2,0
26942,2,4,0
27510,4,3,0
28078,4,1,0
28158,2,4,0
28490,4,1,0
29169,2,1,0
29666,0,0,1
30056,2,2,1
30193,0,0,1
30228,2,3,0
30229,0,4,0
30252,1,4,0
30761,2,2,1
30956,4,3,0
31236,0,0,1
31299,1,4,0
32081,3,4,0
32166,3,3,1
32190,2,4,0
32570,4,4,1
32707,2,2,1
32829,1,3,0
33164,3,4,0
33198,3,3,1
33844,3,2,0
33984,1,0,0
34000,3,4,0
34356,1,3,0
34444,2,3,0
34717,0,3,0
35053,1,2,0
35236,3,4,0
35452,4,3,0
35519,3,4,0
35520,4,2,0
