req_id,llama_20251114T045113_20_argmax,deepseek_20251114T050830_20_argmax,match
226,0,4,0
657,1,1,1
824,3,0,0
988,1,1,1
1005,3,4,0
1011,0,0,1
1140,1,2,0
1326,3,2,0
1555,1,0,0
1575,0,2,0
1723,2,3,0
1963,0,1,0
2288,4,0,0
2550,1,3,0
2555,1,0,0
2631,1,3,0
2795,0,2,0
2962,4,4,1
3120,0,0,1
3365,4,3,0
3401,0,0,1
3411,2,3,0
3573,1,3,0
3745,2,2,1
4087,0,1,0
4229,4,0,0
4280,3,3,1
4321,3,0,0
4653,1,2,0
4737,1,2,0
4917,1,3,0
4922,4,2,0
5373,2,3,0
5403,4,1,0
5407,0,0,1
5413,4,3,0
5725,3,3,1
5918,2,0,0
6125,0,0,1
6345,4,0,0
6411,3,2,0
6447,4,4,1
6498,4,0,0
6531,4,3,0
6778,2,4,0
6836,0,4,0
7022,3,4,0
7143,4,1,0
7331,3,0,0
7947,3,2,0
7965,4,2,0
8779,0,4,0
9226,0,4,0
9310,0,1,0
9437,3,4,0
9471,3,4,0
9675,4,0,0
9696,4,3,0
10905,2,3,0
11028,0,0,1
11061,3,0,0
11211,2,3,0
11217,1,3,0
11616,3,1,0
11704,3,2,0
11765,4,0,0
12085,1,0,0
12093,3,0,0
12618,3,0,0
12743,3,4,0
13333,2,3,0
13713,1,1,1
13823,4,0,0
13886,2,3,0
13989,1,1,1
14390,1,3,0
15272,4,1,0
15363,4,0,0
15379,1,2,0
15382,2,1,0
15638,0,3,0
15645,0,4,0
15780,4,1,0
15903,4,0,0
16153,0,1,0
16251,2,3,0
16704,4,3,0
16909,4,0,0
17033,4,3,0
17114,1,1,1
17579,0,0,1
17832,2,3,0
18102,1,4,0
18110,1,0,0
18383,3,1,0
18442,0,2,0
18533,2,1,0
18665,0,1,0
19298,1,3,0
19448,4,4,1
19482,1,3,0
19554,1,3,0
19610,2,4,0
19672,2,4,0
20094,0,3,0
20218,2,3,0
20220,0,0,1
